Paient_ID,Percent_Time
child#001,8.108108108108109
child#002,12.474012474012476
child#003,12.889812889812891
child#004,7.6923076923076925
child#005,9.147609147609149
child#006,10.395010395010395
child#007,13.92931392931393
child#008,13.513513513513514
child#009,9.97920997920998
child#010,11.85031185031185
adolescent#001,15.384615384615385
adolescent#002,16.424116424116423
adolescent#003,11.642411642411643
adolescent#004,13.305613305613306
adolescent#005,14.96881496881497
adolescent#006,13.721413721413722
adolescent#007,17.671517671517673
adolescent#008,25.987525987525988
adolescent#009,15.800415800415802
adolescent#010,10.81081081081081
adult#001,23.492723492723496
adult#002,17.87941787941788
adult#003,11.01871101871102
adult#004,9.563409563409564
adult#005,21.82952182952183
adult#006,13.513513513513514
adult#007,10.187110187110187
adult#008,16.008316008316008
adult#009,23.7006237006237
adult#010,16.839916839916842
